symbol	syll	cons	son	labial	coronal	dorsal	voice	cont	del. rel.	ant	dist	strid	high	low	back	front	approx	nas	lat	s.g.	c.g.	round	ATR
p	-1	1	-1	1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	0	0
b	-1	1	-1	1	-1	-1	1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	0	0
ɸ	-1	1	-1	1	-1	-1	-1	1	1	0	1	-1	0	0	0	0	-1	-1	-1	-1	-1	0	0
β	-1	1	-1	1	-1	-1	1	1	1	0	1	-1	0	0	0	0	-1	-1	-1	-1	-1	0	0
f	-1	1	-1	1	-1	-1	-1	1	1	0	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	0
v	-1	1	-1	1	-1	-1	1	1	1	0	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	0
t̪	-1	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	0	0	0	0	-1	-1	-1	-1	-1	0	0
d̪	-1	1	-1	-1	1	-1	1	-1	-1	1	1	-1	0	0	0	0	-1	-1	-1	-1	-1	0	0
θ	-1	1	-1	-1	1	-1	-1	1	1	1	1	-1	0	0	0	0	-1	-1	-1	-1	-1	0	0
ð	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	0	0	0	0	-1	-1	-1	-1	-1	0	0
t	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	0	0
d	-1	1	-1	-1	1	-1	1	-1	-1	1	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	0	0
ʦ	-1	1	-1	-1	1	-1	-1	-1	1	1	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	0
ʣ	-1	1	-1	-1	1	-1	1	-1	1	1	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	0
s	-1	1	-1	-1	1	-1	-1	1	1	1	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	0
z	-1	1	-1	-1	1	-1	1	1	1	1	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	0
ʈ	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	0	0
ɖ	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	0	0
ʂ	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	0
ʐ	-1	1	-1	-1	1	-1	1	1	1	-1	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	0
ʃ	-1	1	-1	-1	1	-1	-1	1	1	-1	1	1	0	0	0	0	-1	-1	-1	-1	-1	0	0
ʒ	-1	1	-1	-1	1	-1	1	1	1	-1	1	1	0	0	0	0	-1	-1	-1	-1	-1	0	0
ʧ	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	0	0	0	0	-1	-1	-1	-1	-1	0	0
ʤ	-1	1	-1	-1	1	-1	1	-1	1	-1	1	1	0	0	0	0	-1	-1	-1	-1	-1	0	0
c	-1	1	-1	-1	-1	1	-1	-1	-1	0	0	0	1	-1	-1	1	-1	-1	-1	-1	-1	0	0
ɟ	-1	1	-1	-1	-1	1	1	-1	-1	0	0	0	1	-1	-1	1	-1	-1	-1	-1	-1	0	0
ç	-1	1	-1	-1	-1	1	-1	1	1	0	0	0	1	-1	-1	1	-1	-1	-1	-1	-1	0	0
ʝ	-1	1	-1	-1	-1	1	1	1	1	0	0	0	1	-1	-1	1	-1	-1	-1	-1	-1	0	0
k	-1	1	-1	-1	-1	1	-1	-1	-1	0	0	0	1	-1	1	-1	-1	-1	-1	-1	-1	0	0
