symbol	ant	back	cont	cor	del_rel	distr	extra	glot_cl	hi_subgl_pr	high	lat	long	low	mv_glot_cl	nasal	round	son	strid	tense	voc	voice
hʷː	-	-	+	-	n	.	-	-	-	-	n	+	+	n	-	+	+	-	.	-	-
ʌ	-	+	+	-	n	n	-	-	-	-	n	-	-	n	-	-	+	-	-	+	+
nʰ	+	-	-	+	-	.	-	-	+	-	n	-	-	n	+	-	+	-	+	-	+
ǂ	-	+	-	+	-	+	-	-	-	+	-	-	-	n	-	-	-	-	n	-	-
e	-	-	+	-	n	n	-	-	-	-	n	-	-	n	-	-	+	-	+	+	+
ɡʷ	-	+	-	-	-	.	-	-	-	+	n	-	-	n	-	+	-	-	.	-	+
cʼ	-	-	-	-	-	.	-	+	-	+	n	-	-	+	-	-	-	-	+	-	-
ɓʷ	+	-	-	-	-	+	-	+	-	-	n	-	-	+	-	+	-	-	.	-	+
ɪ	-	-	+	-	n	n	-	-	-	+	n	-	-	n	-	-	+	-	-	+	+
dʷ	+	-	-	+	-	-	-	-	-	-	-	-	-	n	-	+	-	-	.	-	+
qʰʷ	-	+	-	-	-	.	-	-	+	-	n	-	-	n	-	+	-	-	+	-	-
ħʷ	-	+	+	-	n	.	-	-	-	-	n	-	+	n	-	+	-	-	.	-	-
w	+	+	+	-	n	.	-	-	-	+	n	-	-	n	-	-	+	-	.	-	+
ãː	-	+	+	-	n	n	-	-	-	-	n	+	+	n	+	-	+	-	-	+	+
ũ	-	+	+	-	n	n	-	-	-	+	n	-	-	n	+	+	+	-	+	+	+
xː	-	+	+	-	n	.	-	-	-	+	n	+	-	n	-	-	-	-	.	-	-
ɣʰ	-	+	+	-	n	.	-	-	+	+	n	-	-	n	-	-	-	-	+	-	+
ɪ̥	-	-	+	-	n	n	-	-	-	+	n	-	-	n	-	-	+	-	-	-	-
uj	-	.	+	-	n	n	-	-	-	+	n	+	-	n	-	-	+	-	+	+	+
ʊː	-	+	+	-	n	n	-	-	-	+	n	+	-	n	-	+	+	-	-	+	+
l	+	-	+	+	n	-	-	-	-	-	+	-	-	n	-	-	+	-	.	-	+
ʊ	-	+	+	-	n	n	-	-	-	+	n	-	-	n	-	+	+	-	-	+	+
ɚ	-	+	+	-	n	n	-	-	-	+	n	-	-	n	-	-	+	-	-	+	+
ɸ	+	-	+	-	n	+	-	-	-	-	n	-	-	n	-	-	-	-	.	-	-
əː	-	+	+	-	n	n	-	-	-	-	n	+	-	n	-	-	+	-	-	+	+
pʼ	+	-	-	-	-	+	-	+	-	-	n	-	-	+	-	-	-	-	+	-	-
ʉ	-	+	+	-	n	n	-	-	-	+	n	-	-	n	-	+	+	-	+	+	+
ʊ̥	-	+	+	-	n	n	-	-	-	+	n	-	-	n	-	+	+	-	-	-	-
f	+	-	+	-	n	-	-	-	-	-	n	-	-	n	-	-	-	+	.	-	-
ʈʰ	-	-	-	+	-	-	-	-	+	-	-	-	-	n	-	-	-	-	+	-	-
tː	+	-	-	+	-	-	-	-	-	-	-	+	-	n	-	-	-	-	.	-	-
ɺ	+	.	-	+	.	.	-	-	-	-	+	-	-	n	-	-	+	-	.	+	+
