symbol	anterior	approximant	back	consonantal	constricted glottis	continuant	coronal	delayed_release	diphthong	distributed	dorsal	front	front-diphthong	high	labial	labiodental	lateral	long	low	nasal	round	segment	sonorant	spread glottis	stress	strident	syllabic	tap	tense	trill	voice
n̩	1	-1	0	1	-1	-1	1	0	0	-1	-1	0	0	0	-1	-1	-1	-1	0	1	-1	1	1	-1	-1	-1	1	-1	0	-1	1
k͡p	0	-1	0	1	-1	-1	-1	-1	0	0	1	0	0	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
i	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	1	-1	1	-1	1
ɡ͡b	0	-1	0	1	-1	-1	-1	-1	0	0	1	0	0	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ʑ	1	-1	-1	1	-1	1	1	1	0	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	1
ʕ	0	-1	1	1	-1	1	-1	-1	0	0	1	-1	0	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ã	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	0	1	-1	0	-1	1
ɣ	0	-1	0	1	-1	1	-1	1	0	0	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ɶ̃	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	1	-1	-1	-1	1	1	1	1	1	-1	-1	0	1	-1	0	-1	1
ɵː	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	1
dʒ	-1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	1
d̪ɮ̪	1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1
ɺ	1	1	0	1	-1	1	1	0	0	-1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	1	-1	-1	-1	-1	1	0	-1	1
ʂ	-1	-1	0	1	-1	1	1	1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
ɾ̥	1	1	0	1	-1	1	1	0	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	-1	-1	1	0	-1	-1
w̥	0	1	1	-1	-1	1	-1	0	0	0	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	-1	-1	1	-1	-1
ʉ	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	1
b	0	-1	0	1	-1	-1	-1	-1	0	0	-1	0	0	0	1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
o̥	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	-1
